NAME                 NAME                
-------------------- --------------------
Egbert Engles        Al Bore             
Henrietta Hogg       Al Bore             
Qfwfq                Andy Aardverk       
Tracy Turnip         Andy Aardverk       
Fuzzy Fowles         Boswell Biddles     
Doris Daniels        Clark Kent          
George Gush          Clark Kent          
Ingrid Iverson       Clark Kent          
Suzy Sedwick         Clark Kent          
Andy Aardverk        Doris Daniels       
Suzy Sedwick         Doris Daniels       
Jack Daniels         Egbert Engles       
Qfwfq                Egbert Engles       
Boswell Biddles      Ekksdwl Qjksynn     
Fuzzy Fowles         Ekksdwl Qjksynn     
Ingrid Iverson       Ekksdwl Qjksynn     
Jack Daniels         Ekksdwl Qjksynn     
Qfwfq                Ekksdwl Qjksynn     
Tracy Turnip         Ekksdwl Qjksynn     
Boswell Biddles      Fanny Mae           
Egbert Engles        Fanny Mae           
Jack Daniels         Fanny Mae           
Suzy Sedwick         Fanny Mae           
Tracy Turnip         Fanny Mae           
Fuzzy Fowles         Finwick Cooper      
Kathy Lee Gifford    Finwick Cooper      
Qfwfq                Finwick Cooper      
Qfwfq                Fuzzy Fowles        
Fanny Mae            Garp Google         
Suzy Sedwick         Garp Google         
Andy Aardverk        George Gush         
Doris Daniels        George Gush         
Henrietta Hogg       George Gush         
Ingrid Iverson       George Gush         
Suzy Sedwick         George Gush         
Boswell Biddles      George Wolf         
Cary Cizek           George Wolf         
Doris Daniels        George Wolf         
Ekksdwl Qjksynn      George Wolf         
Fanny Mae            George Wolf         
Fuzzy Fowles         George Wolf         
Garp Google          George Wolf         
Ingrid Iverson       George Wolf         
Jack Daniels         George Wolf         
Jackie Johassen      George Wolf         
Klive Kittlehart     George Wolf         
Margaret Mitchie     George Wolf         
Sally Mae            George Wolf         
Suzy Sedwick         George Wolf         
Tracy Turnip         George Wolf         
Cary Cizek           Henrietta Hogg      
Qfwfq                Henrietta Hogg      
Andy Aardverk        Ingrid Iverson      
Boswell Biddles      Ingrid Iverson      
Doris Daniels        Ingrid Iverson      
Qfwfq                Ingrid Iverson      
Sally Mae            Ingrid Iverson      
Andy Aardverk        Jack Daniels        
Boswell Biddles      Jack Daniels        
Egbert Engles        Jack Daniels        
George Wolf          Jack Daniels        
Ingrid Iverson       Jack Daniels        
